SiteId,Type,Journal Name,Entry Id,System Name,x,y,z,Region (Calculated),Region (Journal),Primary Star,Body Name,POI Id,Body Sub Type,Gravity,Distance To Arrival,Surface Temperature,Volcanism,Orbital Period,Rotational Period,Orbital Eccentricity,Discovered By,Discovered By,Discovered By,Discovered By,Discovered By
21,Unknown,,,COL 173 SECTOR HN-J D9-52,1217.8125,-241.40625,83.28125,Inner Orion Spur,Inner Orion Spur,G (White-Yellow) Star, 1 C A,,Rocky body,0.08877807756,1132,237,Major Silicate Vapour Geysers,0.3799925854,0.3915126772,,Baton,Baton,,,
22,Unknown,,,COL 173 SECTOR HN-J D9-52,1217.8125,-241.40625,83.28125,Inner Orion Spur,Inner Orion Spur,G (White-Yellow) Star, 1 C A,,Rocky body,0.08877807756,1132,237,Major Silicate Vapour Geysers,0.3799925854,0.3915126772,,Baton,Baton,,,
23,Unknown,,,COL 173 SECTOR HN-J D9-52,1217.8125,-241.40625,83.28125,Inner Orion Spur,Inner Orion Spur,G (White-Yellow) Star, 1 C A,,Rocky body,0.08877807756,1132,237,Major Silicate Vapour Geysers,0.3799925854,0.3915126772,,Baton,Baton,,,
24,Unknown,,,COL 173 SECTOR HN-J D9-52,1217.8125,-241.40625,83.28125,Inner Orion Spur,Inner Orion Spur,G (White-Yellow) Star, 1 A,4,Rocky body,0.2144401368,1136,286,Major Silicate Vapour Geysers,0.7563068757,0.7563211625,0.005991,Baton,Baton,,,
25,Unknown,,,COL 173 SECTOR HN-J D9-52,1217.8125,-241.40625,83.28125,Inner Orion Spur,Inner Orion Spur,G (White-Yellow) Star, 1 A,,Rocky body,0.2144401368,1136,286,Major Silicate Vapour Geysers,0.7563068757,0.7563211625,0.005991,Baton,Baton,,,
26,Unknown,,,COL 173 SECTOR HN-J D9-52,1217.8125,-241.40625,83.28125,Inner Orion Spur,Inner Orion Spur,G (White-Yellow) Star, 1 A,,Rocky body,0.2144401368,1136,286,Major Silicate Vapour Geysers,0.7563068757,0.7563211625,0.005991,Baton,Baton,,,
27,Unknown,,,COL 173 SECTOR HN-J D9-52,1217.8125,-241.40625,83.28125,Inner Orion Spur,Inner Orion Spur,G (White-Yellow) Star, 1 A,,Rocky body,0.2144401368,1136,286,Major Silicate Vapour Geysers,0.7563068757,0.7563211625,0.005991,Baton,Baton,,,
28,Unknown,,,COL 173 SECTOR HN-J D9-52,1217.8125,-241.40625,83.28125,Inner Orion Spur,Inner Orion Spur,G (White-Yellow) Star, 1 A,,Rocky body,0.2144401368,1136,286,Major Silicate Vapour Geysers,0.7563068757,0.7563211625,0.005991,Baton,Baton,,,
29,Unknown,,,COL 173 SECTOR HS-S D4-77,1105.90625,-95.75,-335.21875,Inner Orion Spur,Inner Orion Spur,G (White-Yellow) Star, BC 4 A,,Rocky body,0.05665373136,2807,332,Minor Silicate Vapour Geysers,1.415207158,-1.415224067,0.001963,Baton,Baton,,,
30,Unknown,,,COL 173 SECTOR EM-L D8-69,1494.59375,-155.46875,50.375,Inner Orion Spur,Inner Orion Spur,F (White) Star, B 2 A,,Rocky body,0.1852590872,2002,481,Minor Metallic Magma,1.273373481,1.282408945,,Baton,Baton,,,
31,Unknown,,,COL 173 SECTOR IV-F B27-1,1286.625,-178.5,-106,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, A 1 A,,Rocky body,0.05193093265,80,294,Major Silicate Vapour Geysers,0.7756005859,0.8076908818,,Baton,Baton,,,
32,Unknown,,,COL 173 SECTOR IV-F B27-1,1286.625,-178.5,-106,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, A 1 A,,Rocky body,0.05193093265,80,294,Major Silicate Vapour Geysers,0.7756005859,0.8076908818,,Baton,Baton,,,
33,Unknown,,,COL 173 SECTOR KS-J D9-37,1673.8125,-146.84375,64.8125,Inner Orion Spur,Inner Orion Spur,A (Blue-White) Star, A 5 B,,Rocky body,0.0469924689,2171,204,Major Silicate Vapour Geysers,0.3890675637,0.5473200141,0.160089,Baton,Baton,,,
34,Unknown,,,COL 173 SECTOR KS-J D9-37,1673.8125,-146.84375,64.8125,Inner Orion Spur,Inner Orion Spur,A (Blue-White) Star, A 5 A,,Rocky body,0.04730290455,2171,204,Major Silicate Vapour Geysers,0.3890675637,0.1843918638,0.160089,Baton,Baton,,,
35,Unknown,,,COL 173 SECTOR KY-Q D5-9,1022.03125,-70.71875,-196.09375,Inner Orion Spur,Inner Orion Spur,F (White) Star, 1 A,,Rocky body,0.1665270049,1406,217,Metallic Magma,1.049695638,0.9723451063,0.001181,Baton,Baton,,,
36,Unknown,,,COL 173 SECTOR LY-Q D5-59,1078.09375,-86.5625,-249.46875,Inner Orion Spur,Inner Orion Spur,A (Blue-White) Star, 8 G,,Rocky body,0.1481439427,1163,243,Minor Metallic Magma,0.951933985,1.186563367,0.001594,Baton,Baton,,,
37,Unknown,,,COL 173 SECTOR PU-D C13-12,1287.1875,-174.84375,-112.03125,Inner Orion Spur,Inner Orion Spur,K (Yellow-Orange) Star, B 2 A,,Rocky body,0.0788693258,47207,445,Major Silicate Vapour Geysers,0.4465764251,0.4563261357,,Baton,Baton,,,
38,Unknown,,,COL 173 SECTOR PU-D C13-12,1287.1875,-174.84375,-112.03125,Inner Orion Spur,Inner Orion Spur,K (Yellow-Orange) Star, B 2 A,,Rocky body,0.0788693258,47207,445,Major Silicate Vapour Geysers,0.4465764251,0.4563261357,,Baton,Baton,,,
39,Unknown,,,COL 173 SECTOR SI-I B26-8,1203.21875,-103.25,-136.1875,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, A 3 A,,Icy body,0.06715520666,50,215,Major Water Geysers,1.38618363,1.41898112,,Baton,Baton,,,
40,Unknown,,,COL 173 SECTOR SI-I B26-8,1203.21875,-103.25,-136.1875,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, A 3 A,,Icy body,0.06715520666,50,215,Major Water Geysers,1.38618363,1.41898112,,Baton,Baton,,,
41,Unknown,,,COL 173 SECTOR SI-I B26-8,1203.21875,-103.25,-136.1875,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, A 3 A,,Icy body,0.06715520666,50,215,Major Water Geysers,1.38618363,1.41898112,,Baton,Baton,,,
42,Unknown,,,ETA CARINA SECTOR EL-Y D16,8636.59375,-156.1875,2686.71875,Outer Orion Spur,Outer Orion Spur,F (White) Star, ABC 6 A,1,Rocky body,0.1522572539,2022,219,Major Silicate Vapour Geysers,0.7551208345,0.7551313042,0.001361,Baton,Baton,,,
43,Unknown,,,ETA CARINA SECTOR EL-Y D16,8636.59375,-156.1875,2686.71875,Outer Orion Spur,Outer Orion Spur,F (White) Star, ABC 6 A,,Rocky body,0.1522572539,2022,219,Major Silicate Vapour Geysers,0.7551208345,0.7551313042,0.001361,Baton,Baton,,,
44,Unknown,,,ETA CARINA SECTOR EL-Y D19,8625.34375,-159.75,2693.5625,Outer Orion Spur,Outer Orion Spur,A (Blue-White) Star, 3 A,1,Rocky body,0.1194117244,1600,241,Major Silicate Vapour Geysers,0.8557090467,-0.7719086588,0.000209,Baton,Baton,,,
45,Unknown,,,ETA CARINA SECTOR EL-Y D19,8625.34375,-159.75,2693.5625,Outer Orion Spur,Outer Orion Spur,A (Blue-White) Star, 3 A,,Rocky body,0.1194117244,1600,241,Major Silicate Vapour Geysers,0.8557090467,-0.7719086588,0.000209,Baton,Baton,,,
46,Unknown,,,ETA CARINA SECTOR GW-W C1-6,8565.25,-165.3125,2687.4375,Outer Orion Spur,Outer Orion Spur,K (Yellow-Orange) Star, A 1,,High metal content world,0.07026732944,61,419,Major Rocky Magma,1.33884214,1.920245045,0.063729,Baton,Baton,,,
47,Unknown,,,ETA CARINA SECTOR GW-W C1-6,8565.25,-165.3125,2687.4375,Outer Orion Spur,Outer Orion Spur,K (Yellow-Orange) Star, A 2,,High metal content world,0.06905795757,61,419,Major Rocky Magma,1.33884214,1.867667824,0.063729,Baton,Baton,,,
48,Unknown,,,ETA CARINA SECTOR IR-W D1-10,8584.65625,-113,2705.375,Outer Orion Spur,Outer Orion Spur,A (Blue-White) Star, A 1 D A,6,Rocky body,0.0455807434,940,311,Major Silicate Vapour Geysers,0.7092994068,0.7168933105,,Baton,Baton,,,
49,Unknown,,,ETA CARINA SECTOR IR-W D1-10,8584.65625,-113,2705.375,Outer Orion Spur,Outer Orion Spur,A (Blue-White) Star, A 2 C,,Rocky body,0.08106859472,1364,241,Major Silicate Vapour Geysers,0.4721000615,0.2154707845,0.106596,Baton,Baton,,,
50,Unknown,,,ETA CARINA SECTOR IR-W D1-10,8584.65625,-113,2705.375,Outer Orion Spur,Outer Orion Spur,A (Blue-White) Star, A 3 C,,Rocky body,0.07120415019,1413,238,Major Silicate Vapour Geysers,0.5470695891,1.47320638,0.037425,Baton,Baton,,,
51,Unknown,,,ETA CARINA SECTOR IR-W D1-10,8584.65625,-113,2705.375,Outer Orion Spur,Outer Orion Spur,A (Blue-White) Star, A 3 A,1,Rocky body,0.1030538149,1412,238,Minor Rocky Magma,2.118780382,-2.119244611,0.000454,Baton,Baton,,,
52,Unknown,,,ETA CARINA SECTOR IR-W D1-25,8593.84375,-129.40625,2711.125,Outer Orion Spur,Outer Orion Spur,G (White-Yellow) Star, 14 B,,Rocky body,0.1773838574,2408,237,Minor Metallic Magma,1.262804814,1.262856536,0.000105,Baton,Baton,,,
53,Unknown,,,ETA CARINA SECTOR LC-V C2-8,8580.65625,-182.84375,2706.8125,Outer Orion Spur,Outer Orion Spur,K (Yellow-Orange) Star, CD 2,,High metal content world,0.2434858254,1155,359,Rocky Magma,1.435388914,1.560707951,0.088604,Baton,Baton,,,
54,Unknown,,,ETA CARINA SECTOR LC-V C2-8,8580.65625,-182.84375,2706.8125,Outer Orion Spur,Outer Orion Spur,K (Yellow-Orange) Star, CD 1 A,,Rocky body,0.1200025386,1100,400,Major Silicate Vapour Geysers,0.5265927563,0.5449420202,,Baton,Baton,,,
55,Unknown,,,ETA CARINA SECTOR LC-V C2-8,8580.65625,-182.84375,2706.8125,Outer Orion Spur,Outer Orion Spur,K (Yellow-Orange) Star, CD 1 A,,Rocky body,0.1200025386,1100,400,Major Silicate Vapour Geysers,0.5265927563,0.5449420202,,Baton,Baton,,,
56,Unknown,,,ETA CARINA SECTOR LC-V C2-8,8580.65625,-182.84375,2706.8125,Outer Orion Spur,Outer Orion Spur,K (Yellow-Orange) Star, CD 4,,High metal content world,0.264289596,1171,325,Minor Rocky Magma,1.438416127,-2.133595446,0.062969,Baton,Baton,,,
57,Unknown,,,ETA CARINA SECTOR LC-V C2-8,8580.65625,-182.84375,2706.8125,Outer Orion Spur,Outer Orion Spur,K (Yellow-Orange) Star, CD 5,,High metal content world,0.2466443411,1171,325,Major Rocky Magma,1.438416127,1.947565282,0.062969,Baton,Baton,,,
58,Unknown,,,ETA CARINA SECTOR PD-S B4-0,8580.90625,-140.96875,2714.03125,Outer Orion Spur,Outer Orion Spur,M (Red dwarf) Star, B 4,,High metal content world,0.1370054539,427,465,Major Silicate Vapour Geysers,0.4783023287,0.696448576,0.152708,Baton,Baton,,,
59,Unknown,,,ETA CARINA SECTOR PD-S B4-0,8580.90625,-140.96875,2714.03125,Outer Orion Spur,Outer Orion Spur,M (Red dwarf) Star, B 5,1,High metal content world,0.131833049,427,465,Major Silicate Vapour Geysers,0.4783023287,0.9870430719,0.152708,Baton,Baton,,,
60,Unknown,,,FAUST 538,468.3125,36.46875,-326.78125,Inner Orion Spur,Inner Orion Spur,K (Yellow-Orange giant) Star, 3 A,,Rocky body,0.0628177452,1576,301,Minor Metallic Magma,1.149523745,1.149538484,0.000009,PanPiper,PanPiper,,,
61,Unknown,,,FLYUA DRYOAE FT-F D12-29,1800.71875,-145.875,0.15625,Inner Orion Spur,Inner Orion Spur,F (White) Star, 1 A,,Rocky body,0.2721180457,640,351,Minor Silicate Vapour Geysers,1.453945855,1.453965658,0.000713,Baton,Baton,,,
62,Unknown,,,FLYUA DRYOAE MF-C D14-69,1707.125,-167,137.3125,Inner Orion Spur,Inner Orion Spur,F (White) Star, 5 C,,Rocky body,0.1463749922,1878,214,Metallic Magma,0.6331322338,0.935260055,0.045596,Baton,Baton,,,
63,Unknown,,,HD 67314,1345.21875,-190.9375,-178.875,Inner Orion Spur,Inner Orion Spur,B (Blue-White) Star, 3 A,,Rocky body,0.1955390165,1347,456,Minor Metallic Magma,1.23467117,1.234674942,0.00006,Baton,Baton,,,
64,Unknown,,,HD 85469,1114.78125,-76.75,227.90625,Inner Orion Spur,Inner Orion Spur,B (Blue-White) Star, 6 A A,,Rocky body,0.1112775587,4182,387,Major Silicate Vapour Geysers,0.465330901,0.4850522642,,Baton,Baton,,,
65,Roseum Brain Tree,codex_ent_seed,2100201,HIP 32278,386.875,-82.84375,-342.84375,Inner Orion Spur,Inner Orion Spur,A (Blue-White) Star, A 4,2,High metal content world,1.388331215,1937,229,Minor Metallic Magma,2114.953889,1.682819915,0.000156,vizli puzli,vizli puzli,,,
66,Unknown,,,HIP 34906,571.40625,18.28125,-598.71875,Inner Orion Spur,Inner Orion Spur,A (Blue-White) Star, A 6 A,,Rocky body,0.04578130922,2751,318,Metallic Magma,0.8870720305,0.8870841471,0.000131,Baton,Baton,,,
67,Roseum Brain Tree,codex_ent_seed,2100201,HIP 35245,551.65625,-84.25,-286.375,Inner Orion Spur,Inner Orion Spur,A (Blue-White) Star, 2 B,,Rocky body,0.1335317267,1220,445,Minor Rocky Magma,2.090801657,2.090812418,0.014249,Maligno,Maligno,,,
68,Roseum Brain Tree,codex_ent_seed,2100201,HIP 35245,551.65625,-84.25,-286.375,Inner Orion Spur,Inner Orion Spur,A (Blue-White) Star, 2 D,,Rocky body,0.1455128325,1215,420,Major Silicate Vapour Geysers,0.4265331491,0.6202931813,0.173262,Maligno,Maligno,,,
69,Roseum Brain Tree,codex_ent_seed,2100201,HIP 35245,551.65625,-84.25,-286.375,Inner Orion Spur,Inner Orion Spur,A (Blue-White) Star, 2 E,,Rocky body,0.1402100432,1215,420,Major Silicate Vapour Geysers,0.4265331491,0.5874628812,0.173262,Maligno,Maligno,,,
70,Unknown,,,HIP 36218,485.40625,-34.03125,-285.75,Inner Orion Spur,Inner Orion Spur,A (Blue-White) Star, 7 A,,Rocky body,0.08387434393,889,484,Minor Rocky Magma,2.066639721,2.066642795,0.000311,Maligno,Maligno,,,
71,Unknown,,,HIP 38064,1152.9375,-60.6875,-478.25,Inner Orion Spur,Inner Orion Spur,O (Blue-White) Star, 12 B A,3,Rocky body,0.169800279,3836,280,Minor Metallic Magma,1.293936468,1.300105871,,Baton,Baton,,,
72,Unknown,,,HIP 39768,866.59375,-119.125,-109.03125,Inner Orion Spur,Inner Orion Spur,B (Blue-White) Star, A 14 D A,6,Rocky body,0.04621553315,7075,341,Metallic Magma,0.9524619345,0.9616291168,,Baton,Baton,,,
73,Unknown,,,HIP 49394,563.5625,34.0625,86.71875,Inner Orion Spur,Inner Orion Spur,B (Blue-White) Star, 7 A,2,Rocky body,0.06965076275,2264,365,Minor Rocky Magma,2.135010489,-2.13508337,0.015772,Baton,Baton,,,
74,Unknown,,,HIP 49394,563.5625,34.0625,86.71875,Inner Orion Spur,Inner Orion Spur,B (Blue-White) Star, 7 A,,Rocky body,0.06965076275,2264,365,Minor Rocky Magma,2.135010489,-2.13508337,0.015772,Baton,Baton,,,
75,Unknown,,,HIP 49394,563.5625,34.0625,86.71875,Inner Orion Spur,Inner Orion Spur,B (Blue-White) Star, 8 B,,Rocky body,0.1982726468,3325,331,Minor Silicate Vapour Geysers,1.407905545,1.407912598,0.000624,Baton,Baton,,,
76,Unknown,,,HIP 49394,563.5625,34.0625,86.71875,Inner Orion Spur,Inner Orion Spur,B (Blue-White) Star, 8 B,,Rocky body,0.1982726468,3325,331,Minor Silicate Vapour Geysers,1.407905545,1.407912598,0.000624,Baton,Baton,,,
77,Unknown,,,HIP 49394,563.5625,34.0625,86.71875,Inner Orion Spur,Inner Orion Spur,B (Blue-White) Star, 8 B,,Rocky body,0.1982726468,3325,331,Minor Silicate Vapour Geysers,1.407905545,1.407912598,0.000624,Baton,Baton,,,
78,Unknown,,,HIP 49394,563.5625,34.0625,86.71875,Inner Orion Spur,Inner Orion Spur,B (Blue-White) Star, 8 B,,Rocky body,0.1982726468,3325,331,Minor Silicate Vapour Geysers,1.407905545,1.407912598,0.000624,Baton,Baton,,,
79,Unknown,,,HIP 49394,563.5625,34.0625,86.71875,Inner Orion Spur,Inner Orion Spur,B (Blue-White) Star, 8 B,,Rocky body,0.1982726468,3325,331,Minor Silicate Vapour Geysers,1.407905545,1.407912598,0.000624,Baton,Baton,,,
80,Unknown,,,HR 4221,503.21875,18.09375,152.21875,Inner Orion Spur,Inner Orion Spur,B (Blue-White) Star, 3 A,,Rocky body,0.1206904606,2445,466,Minor Metallic Magma,1.136169343,1.136181641,0.000257,Baton,Baton,,,
81,Unknown,,,IC 2391 SECTOR FL-X B1-7,611.34375,-78.40625,-51.6875,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, A 2,4,High metal content world,0.3224274925,53,282,Major Rocky Magma,1.415828933,2.049984543,0.106247,Baton,Baton,,,
82,Unknown,,,IC 2391 SECTOR FL-X B1-7,611.34375,-78.40625,-51.6875,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, A 3,,High metal content world,0.3121456942,53,282,Major Rocky Magma,1.415828933,1.957768721,0.106247,Baton,Baton,,,
83,Unknown,,,IC 2391 SECTOR ZE-A D101,526.5,-86.375,-37.9375,Inner Orion Spur,Inner Orion Spur,F (White) Star, C 3 A,2,Rocky body,0.07915349259,337364,300,Major Silicate Vapour Geysers,0.3537909231,0.3656998258,,MrCarter,MrCarter,,,
84,Unknown,,,IC 2391 SECTOR ZE-A D101,526.5,-86.375,-37.9375,Inner Orion Spur,Inner Orion Spur,F (White) Star, C 3 A,,Rocky body,0.07915349259,337364,300,Major Silicate Vapour Geysers,0.3537909231,0.3656998258,,Unknown,Unknown,,,
85,Unknown,,,IC 2602 SECTOR UX-T B3-5,621.28125,-87.5,95.5625,Inner Orion Spur,Inner Orion Spur,T Tauri Star,1,,Icy body,0.09087678023,20,241,Minor Methane Magma,6.52197772,6.523795573,0.000005,Baton,Baton,,,
86,Unknown,,,IC 2602 SECTOR UX-T B3-5,621.28125,-87.5,95.5625,Inner Orion Spur,Inner Orion Spur,T Tauri Star,1,,Icy body,0.09087678023,20,241,Minor Methane Magma,6.52197772,6.523795573,0.000005,Baton,Baton,,,
87,Unknown,,,IC 2602 SECTOR UX-T B3-5,621.28125,-87.5,95.5625,Inner Orion Spur,Inner Orion Spur,T Tauri Star,1,,Icy body,0.09087678023,20,241,Minor Methane Magma,6.52197772,6.523795573,0.000005,Baton,Baton,,,
88,Unknown,,,MUSCA DARK REGION AA-Z C46,486.0625,-21.78125,200.15625,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, B 3 A,,Rocky body,0.06113303293,2135,303,Minor Silicate Vapour Geysers,1.45306731,1.463718081,,Baton,Baton,,,
89,Unknown,,,PCYC 275,8634.96875,-157,2736.9375,Outer Orion Spur,Outer Orion Spur,A (Blue-White) Star, B 2 C,,Rocky body,0.06454528922,6595,431,Major Silicate Vapour Geysers,0.3329408114,0.3971023746,0.17436,Baton,Baton,,,
90,Unknown,,,PCYC 275,8634.96875,-157,2736.9375,Outer Orion Spur,Outer Orion Spur,A (Blue-White) Star, B 3 C,,Rocky body,0.08340073742,8291,398,Major Silicate Vapour Geysers,0.5850372284,0.763791491,0.030362,Baton,Baton,,,
91,Unknown,,,PENCIL SECTOR JM-W D1-97,801.1875,-44.375,1.625,Inner Orion Spur,Inner Orion Spur,F (White) Star, 1 A,,Rocky body,0.2245615536,1396,222,Minor Silicate Vapour Geysers,1.455084455,1.455141692,0.001078,Baton,Baton,,,
92,Unknown,,,PENCIL SECTOR OC-U A3-2,806.6875,-43.5,-102.09375,Inner Orion Spur,Inner Orion Spur,L (Brown dwarf) Star, A 2 A,,Icy body,0.06201193961,22,212,Major Water Geysers,0.8746508789,0.8828936994,,Baton,Baton,,,
93,Unknown,,,PENCIL SECTOR OC-U A3-2,806.6875,-43.5,-102.09375,Inner Orion Spur,Inner Orion Spur,L (Brown dwarf) Star, A 2 A,,Icy body,0.06201193961,22,212,Major Water Geysers,0.8746508789,0.8828936994,,Baton,Baton,,,
94,Unknown,,,PENCIL SECTOR ZU-P B5-0,813.96875,-59.5625,-20.46875,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star,4,,Icy body,0.2457845877,23,227,Minor Methane Magma,7.741520544,7.771265191,0.000045,Baton,Baton,,,
95,Unknown,,,PENCIL SECTOR ZU-P B5-0,813.96875,-59.5625,-20.46875,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star,1,,High metal content world,0.3270408473,7,446,Minor Silicate Vapour Geysers,0.6798783366,1.58440719,0.190717,Baton,Baton,,,
96,Unknown,,,PRUA PHOE US-B D86,-5476.6875,-518.8125,10526.65625,Inner Scutum-Centaurus Arm,Inner Scutum-Centaurus Arm,F (White) Star, C 2,,High metal content world,0.2269445717,32724,284,Major Silicate Vapour Geysers,0.4629106985,0.6567634384,0.049246,Factabulous,Factabulous,,,
97,Unknown,,,PRUA PHOE US-B D86,-5476.6875,-518.8125,10526.65625,Inner Scutum-Centaurus Arm,Inner Scutum-Centaurus Arm,F (White) Star, C 3,,High metal content world,0.225930792,32724,284,Major Silicate Vapour Geysers,0.4629106985,0.6525656329,0.049246,Factabulous,Factabulous,,,
98,Unknown,,,SYNUEFE AK-Y C17-5,433.4375,-27.375,-268.21875,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, A 3 A,,Rocky body,0.1093106294,53,404,Minor Metallic Magma,1.230602304,1.238494737,,Maligno,Maligno,,,
